Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Sub-Category,Sales,Cost Price,Quantity,Discount,Revenue,Profit, Category,Segment
BTC-245712,2024-06-22,Online,LO028977,Norton,S8,England,East Midlands,01JZ3N512GHNAJSF3HCCQ0PQYY,Flavored Popcorn Mix,Gourmet Snacks,2.99,0.897,4,0.24,11.96,8.372,Food,Snacks
BTC-245712,2024-06-22,Online,LO028977,Norton,S8,England,Yorkshire and the Humber,01JZ3N512GHNAJSF3HCCQ0PQYY,Flavored Popcorn Mix,Gourmet Snacks,2.99,0.897,4,0.24,11.96,8.372,Food,Snacks
NZR-891212,2024-03-15,In-Store,OH046670,West End,DN36,England,East Midlands,01JZ3N56DDVK7Y600QGH2M6T1X,Olive Oil,Cooking Oils,7.99,2.397,16,0.32,127.84,89.488,Food,Condiments
TDN-811093,2024-02-29,Online,FH015492,Newtown,RG20,England,South East,01JZ3N53A64TW72TVK28SMMXKX,Children's Backpack,Kids' Bags,29.99,8.997,2,0.09,59.98,41.986,Accessories,Accessories
MIX-746378,2024-10-25,In-Store,ZZ015342,East End,BH21,England,North West,01JZ3N572S4RVA29Y33YRWH174,Honey Butter Popcorn,Gourmet Snacks,2.99,0.897,4,0.01,11.96,8.372,Food,Snacks
UGI-201465,2024-08-18,Online,TV075977,Seaton,LE15,England,East Midlands,01JZ3N52RT7CJNB27BFS6H8BF7,Sliced Cucumbers,Fresh Cut Vegetables,1.29,0.387,11,0.34,14.19,9.933,Food,Produce
YVL-326274,2024-12-19,In-Store,HL006234,Craigavon,BT66,Northern Ireland,Northern Ireland,01JZ3N52MN6K6ZBMB2S60Y6661,Roasted Garlic Pasta Sauce,Pasta Sauces,4.99,1.497,2,0.36,9.98,6.986,Food,Sauces
NAD-339602,2024-02-18,Online,AA070185,Norton,S8,England,East Midlands,01JZ3N53JE4J6GB3N22CPWCHED,Turkey Bacon,Processed Meats,3.99,1.197,11,0.21,43.89,30.723,Food,Meat
NAD-339602,2024-02-18,Online,AA070185,Norton,S8,England,Yorkshire and the Humber,01JZ3N53JE4J6GB3N22CPWCHED,Turkey Bacon,Processed Meats,3.99,1.197,11,0.21,43.89,30.723,Food,Meat
YEK-987428,2024-02-07,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home Organization,79.99,23.997,11,0,879.89,615.923,Home,Home
